val,label,level,level_order,adult
001,GISL,12,4,0
0010,GISL,12,4,0
0011,GISL,12,4,0
0019,GISL,12,4,0
002,GISL,12,4,0
0020,GISL,12,4,0
0021,GISL,12,4,0
0022,GISL,12,4,0
0023,GISL,12,4,0
0029,GISL,12,4,0
003,GISL,12,4,0
0030,GISL,12,4,0
0031,GISL,12,4,0
0032,GISL,12,4,0
00320,GISL,12,4,0
00321,GISL,12,4,0
00322,GISL,12,4,0
00323,GISL,12,4,0
00324,GISL,12,4,0
00329,GISL,12,4,0
0038,GISL,12,4,0
0039,GISL,12,4,0
004,GISL,12,4,0
0040,GISL,12,4,0
0041,GISL,12,4,0
0042,GISL,12,4,0
0043,GISL,12,4,0
0048,GISL,12,4,0
0049,GISL,12,4,0
005,GISL,12,4,0
0050,GISL,12,4,0
0051,GISL,12,4,0
0052,GISL,12,4,0
0053,GISL,12,4,0
0054,GISL,12,4,0
0058,GISL,12,4,0
00581,GISL,12,4,0
00589,GISL,12,4,0
0059,GISL,12,4,0
006,GISL,12,4,0
0060,GISL,12,4,0
0061,GISL,12,4,0
0062,GISL,12,4,0
0063,GISL,12,4,0
0064,GISL,12,4,0
0065,GISL,12,4,0
0066,GISL,12,4,0
0068,GISL,12,4,0
0069,GISL,12,4,0
007,GISL,12,4,0
0070,GISL,12,4,0
0071,GISL,12,4,0
0072,GISL,12,4,0
0073,GISL,12,4,0
0074,GISL,12,4,0
0075,GIL,12,3,0
0078,GISL,12,4,0
0079,GISL,12,4,0
008,GISL,12,4,0
0080,GISL,12,4,0
00800,GISL,12,4,0
00801,GISL,12,4,0
00802,GISL,12,4,0
00803,GISL,12,4,0
00804,GISL,12,4,0
00809,GISL,12,4,0
0081,GISL,12,4,0
0082,GISL,12,4,0
0083,GISL,12,4,0
0084,GISL,12,4,0
00841,GISL,12,4,0
00842,GISL,12,4,0
00843,GISL,12,4,0
00844,GISL,12,4,0
00845,GISL,12,4,0
00846,GISL,12,4,0
00847,GISL,12,4,0
00849,GISL,12,4,0
0085,GISL,12,4,0
0086,GISL,12,4,0
00861,GISL,12,4,0
00862,GISL,12,4,0
00863,GISL,12,4,0
00864,GISL,12,4,0
00865,GISL,12,4,0
00866,GISL,12,4,0
00867,GISL,12,4,0
00869,GISL,12,4,0
0088,GISL,12,4,0
009,GISL,12,4,0
0090,GISL,12,4,0
0091,GISL,12,4,0
0092,GISL,12,4,0
0093,GISL,12,4,0
010,PULSL,18,5,0
0100,PULSL,18,5,0
01000,PULSL,18,5,0
01001,PULSL,18,5,0
01002,PULSL,18,5,0
01003,PULSL,18,5,0
01004,PULSL,18,5,0
01005,PULSL,18,5,0
01006,PULSL,18,5,0
0101,PULSL,18,5,0
01010,PULSL,18,5,0
01011,PULSL,18,5,0
01012,PULSL,18,5,0
01013,PULSL,18,5,0
01014,PULSL,18,5,0
01015,PULSL,18,5,0
01016,PULSL,18,5,0
0108,PULSL,18,5,0
01080,PULSL,18,5,0
01081,PULSL,18,5,0
01082,PULSL,18,5,0
01083,PULSL,18,5,0
01084,PULSL,18,5,0
01085,PULSL,18,5,0
01086,PULSL,18,5,0
0109,PULSL,18,5,0
01090,PULSL,18,5,0
01091,PULSL,18,5,0
01092,PULSL,18,5,0
01093,PULSL,18,5,0
01094,PULSL,18,5,0
01095,PULSL,18,5,0
01096,PULSL,18,5,0
011,PULSL,18,5,0
0110,PULSL,18,5,0
01100,PULSL,18,5,0
01101,PULSL,18,5,0
01102,PULSL,18,5,0
01103,PULSL,18,5,0
01104,PULSL,18,5,0
01105,PULSL,18,5,0
01106,PULSL,18,5,0
0111,PULSL,18,5,0
01110,PULSL,18,5,0
01111,PULSL,18,5,0
01112,PULSL,18,5,0
01113,PULSL,18,5,0
01114,PULSL,18,5,0
01115,PULSL,18,5,0
01116,PULSL,18,5,0
0112,PULSL,18,5,0
01120,PULSL,18,5,0
01121,PULSL,18,5,0
01122,PULSL,18,5,0
01123,PULSL,18,5,0
