PCSA,zip,state_cd,ZCTA
1001020500.0,36003,AL,36003
1001020500.0,36006,AL,36006
1001020500.0,36008,AL,36067
1001020500.0,36022,AL,36022
1001020500.0,36025,AL,36025
1001020500.0,36051,AL,36051
1001020500.0,36054,AL,36054
1001020500.0,36066,AL,36066
1001020500.0,36067,AL,36067
1001020500.0,36068,AL,36066
1001020500.0,36749,AL,36749
1003010500.0,36507,AL,36507
1003010500.0,36550,AL,36550
1003010500.0,36562,AL,36562
1003010500.0,36578,AL,36578
1003010500.0,36579,AL,36579
1097000901.0,36505,AL,36505
1097000901.0,36512,AL,36512
1097000901.0,36525,AL,36525
1097000901.0,36527,AL,36527
1097000901.0,36560,AL,36560
1097000901.0,36571,AL,36571
1097000901.0,36572,AL,36572
1097000901.0,36577,AL,36527
1097000901.0,365MH,AL,
1097000901.0,36601,AL,36602
1097000901.0,36602,AL,36602
1097000901.0,36603,AL,36603
1097000901.0,36604,AL,36604
1097000901.0,36606,AL,36606
1097000901.0,36607,AL,36607
1097000901.0,36610,AL,36610
1097000901.0,36611,AL,36611
1097000901.0,36612,AL,36612
1097000901.0,36613,AL,36613
1097000901.0,36616,AL,36616
1097000901.0,36617,AL,36617
1097000901.0,36618,AL,36618
1097000901.0,36625,AL,
1097000901.0,36628,AL,36602
1097000901.0,36630,AL,
1097000901.0,36633,AL,36602
1097000901.0,36640,AL,36604
1097000901.0,36641,AL,36602
1097000901.0,36644,AL,36602
1097000901.0,36652,AL,36602
1097000901.0,36660,AL,36606
1097000901.0,36663,AL,36610
1097000901.0,36670,AL,36607
1097000901.0,36671,AL,36611
1097000901.0,36675,AL,36619
1097000901.0,36685,AL,36609
1097000901.0,36688,AL,36688
1097000901.0,36689,AL,36608
1003010705.0,36526,AL,36526
1003010705.0,36559,AL,36559
1003010904.0,36551,AL,36551
1003010904.0,36567,AL,36567
1003010904.0,36574,AL,36574
1003010904.0,36576,AL,36576
1003011502.0,36511,AL,36511
1003011502.0,36535,AL,36535
1003011502.0,36536,AL,36535
1003011502.0,36555,AL,36555
1003011502.0,36580,AL,36580
1003011202.0,36532,AL,36532
1003011202.0,36533,AL,36532
1003011202.0,36564,AL,36564
1003011406.0,36561,AL,36561
1003011407.0,36542,AL,36542
1003011407.0,36547,AL,36542
1003011602.0,36530,AL,36530
1003011602.0,36549,AL,36549
-80.0,19706,DE,19706
-80.0,197MH,,
-80.0,20687,MD,20687
-80.0,206MH,,
-80.0,22577,VA,22488
-80.0,313MH,,
-80.0,334MH,,
-80.0,34760,FL,34760
-80.0,349MH,,
-80.0,700MH,,
-80.0,704MH,,
-80.0,89413,NV,89413
-80.0,89424,NV,89424
-80.0,897MH,,
-80.0,961MH,,
-80.0,96742,HI,96742
-80.0,971MH,,
1005950700.0,36016,AL,36016
1005950700.0,36027,AL,36027
1005950700.0,36048,AL,36048
1005950700.0,36072,AL,36027
1005950700.0,36851,AL,36871
1005950700.0,36859,AL,36859
1005950700.0,36871,AL,36871
1005950700.0,36875,AL,36875
1005950700.0,39854,GA,39854
1005950700.0,39867,GA,39867
1045020500.0,36017,AL,36017
1045020500.0,36311,AL,36311
1045020500.0,36361,AL,36360
1073014105.0,35006,AL,35006
1073014105.0,35020,AL,35020
1073014105.0,35021,AL,35020
1073014105.0,35022,AL,35022
1073014105.0,35023,AL,35023
1073014105.0,35074,AL,35074
1073014105.0,35184,AL,35184
1073014105.0,35188,AL,35188
1007010003.0,35034,AL,35034
1007010003.0,35035,AL,35035
1007010003.0,35042,AL,35042
1007010003.0,350MX,AL,
1007010003.0,36792,AL,36792
1007010003.0,36793,AL,36793
1007010003.0,367MH,AL,
1009050102.0,35013,AL,35013
1009050102.0,35121,AL,35121
1009050200.0,35049,AL,35049
1055011100.0,35031,AL,35031
1055011100.0,35952,AL,35952
1055011100.0,35980,AL,35980
1055011100.0,35990,AL,35990
1043964200.0,35019,AL,35019
1043964200.0,35033,AL,35033
1043964200.0,35053,AL,35053
1043964200.0,35055,AL,35055
