NDC,MRX_CAT
00002050101,MRX9
00002060440,MRX15
00002081702,MRX3
00002081703,MRX3
00002081902,MRX3
00002081903,MRX3
00002103102,MRX14
00002103202,MRX14
00002103204,MRX14
00002103302,MRX14
00002103702,MRX14
00002103704,MRX14
00002140701,MRX2
00002144425,MRX9
00002145201,MRX11
00002148501,MRX15
00002149925,MRX9
00002237237,MRX9
00002246805,MRX3
00002300475,MRX3
00002312542,MRX9
00002312642,MRX9
00002321045,MRX3
00002322045,MRX3
00002323030,MRX3
00002323101,MRX3
00002323130,MRX3
00002323133,MRX3
00002323201,MRX3
00002323230,MRX3
00002323233,MRX3
00002323301,MRX3
00002323330,MRX3
00002323333,MRX3
00002323401,MRX3
00002323430,MRX3
00002323433,MRX3
00002323560,MRX3
00002323701,MRX3
00002323704,MRX3
00002323730,MRX3
00002323733,MRX3
00002323734,MRX3
00002324001,MRX3
00002324030,MRX3
00002324033,MRX3
00002324090,MRX3
00002327001,MRX3
00002327004,MRX3
00002327030,MRX3
00002327033,MRX3
00002400602,MRX3
00002400630,MRX3
00002411201,MRX3
00002411204,MRX3
00002411230,MRX3
00002411233,MRX3
00002411260,MRX3
00002411501,MRX3
00002411504,MRX3
00002411530,MRX3
00002411533,MRX3
00002411560,MRX3
00002411601,MRX3
00002411604,MRX3
00002411630,MRX3
00002411633,MRX3
00002411660,MRX3
00002411701,MRX3
00002411704,MRX3
00002411730,MRX3
00002411733,MRX3
00002411760,MRX3
00002441501,MRX3
00002441504,MRX3
00002441530,MRX3
00002441533,MRX3
00002441560,MRX3
00002442001,MRX3
00002442004,MRX3
00002442030,MRX3
00002442033,MRX3
00002442060,MRX3
00002445301,MRX3
00002445385,MRX3
00002445401,MRX3
00002445485,MRX3
00002445501,MRX3
00002445585,MRX3
00002445601,MRX3
00002445685,MRX3
00002475901,MRX2
00002475930,MRX2
00002475977,MRX2
00002476030,MRX2
00002476076,MRX2
00002510501,MRX9
00002510516,MRX9
00002512101,MRX2
00002512130,MRX2
00002512152,MRX2
00002512301,MRX2
00002512330,MRX2
00002512377,MRX2
00002704001,MRX9
00002704016,MRX9
00002709001,MRX9
00002709016,MRX9
00002714001,MRX2
00002717501,MRX2
00002717510,MRX2
00002719401,MRX11
00002719501,MRX11
00002719601,MRX11
00002721701,MRX1
00002729301,MRX9
00002729325,MRX9
00002729401,MRX9
00002729425,MRX9
00002729701,MRX9
00002729710,MRX9
00002729801,MRX9
00002729810,MRX9
00002735501,MRX9
00002737501,MRX2
00002737510,MRX2
00002738125,MRX9
00002738216,MRX9
00002749601,MRX2
