ELX_GRP,COMORBIDITY,ICD9
1,Congestive Heart Failure,"39891,40201,40211,40291,40401,40403,40411,40413,40491,40493,4254,4255,4257,4258,4259,428"
2,Cardiac Arrhythmia,"4260,42613,4267,4269,42610,42612,4270,4271,4272,4273,4274,4276,4278,4279,7850,99601,99604,V450,V533"
3,Valvular Disease,"0932,394,395,396,397,424,7463,7464,7465,7466,V422,V433"
4,Pulmonary Circulation Disorders,"4150,4151,416,4170,4178,4179"
5,Peripheral Vascular Disorders,"0930,4373,440,441,4431,4432,4438,4439,4471,5571,5579,V434"
6,Hypertension Uncomplicated,"401"
7,Hypertension Complicated,"402,403,404,405"
8,Paralysis,"3341,342,343,3440,3441,3442,3443,3444,3445,3446,3449"
9,Other Neurological Disorders,"3319,3320,3321,3334,3335,33392,334,335,3362,340,341,345,3481,3483,7803,7843"
10,Chronic Pulmonary Disease,"4168,4169,490,491,492,493,494,495,496,500,501,502,503,504,505,5064,5081,5088"
11,Diabetes Uncomplicated,"2500,2501,2502,2503"
12,Diabetes Complicated,"2504,2505,2506,2507,2508,2509"
13,Hypothyroidism,"2409,243,244,2461,2468"
14,Renal Failure,"40301,40311,40391,40402,40403,40412,40413,40492,40493,585,586,5880,V420,V451,V56"
15,Liver Disease,"07022,07023,07032,07033,07044,07054,0706,0709,4560,4561,4562,570,571,5722,5723,5724,5728,5733,5734,5738,5739,V427"
16,Peptic Ulcer Disease excluding bleeding,"5317,5319,5327,5329,5337,5339,5347,5349"
17,AIDS - HIV,"042,043,044"
18,Lymphoma,"200,201,202,2030,2386"
19,Metastatic Cancer,"196,197,198,199"
20,Solid Tumor without Metastasis,"140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195"
21,Rheumatoid Arthritis - collagen,"446,7010,7100,7101,7102,7103,7104,7108,7109,7112,714,7193,720,725,7285,72889,72930"
22,Coagulopathy,"286,2871,2873,2874,2875"
23,Obesity,"2780"
24,Weight Loss,"260,261,262,263,7832,7994"
25,Fluid and Electrolyte Disorders,"2536,276"
26,Blood Loss Anemia,"2800"
27,Deficiency Anemia,"2801,2808,2809,281"
28,Alcohol Abuse,"2652,2911,2912,2913,2915,2918,2919,3030,3039,3050,3575,4255,5353,5710,5711,5712,5713,980,V113"
29,Drug Abuse,"292,304,3052,3053,3054,3055,3056,3057,3058,3059,V6542"
30,Psychoses,"2938,295,29604,29614,29644,29654,297,298"
31,Depression,"2962,2963,2965,3004,309,311"
