origin,target,comments,updates,deleted,starts_with
"['042', '043', '044']",042,,,0,1
['0781'],0781,,,0,1
['2501'],2501,,,0,1
['2780'],2780,,,0,1
['4151'],4151,,,0,1
['493'],493,,,0,1
['5301'],5301,,,0,1
['5751'],5751,,,0,1
['6860'],6860,,,0,1
['7807'],7807,,,0,1
"['78700', '78701', '78702', '78703']",7870,,,0,0
"['78840', '78841', '78842', '78843']",7884,,,0,0
['7890'],7890,,,0,1
['850'],850,,,0,1
"['8540', '8541']",854,,,0,1
['9898'],9898,,,0,1
['9955'],9955,,,0,1
['9970'],9970,,,0,1
"['99810', '99811', '99812', '99813']",9981,,,0,0
"['v72', 'V72']",V72,,,0,1
"['0049', '0085', '0088']",0059,,Beth Israel ed docs,0,0
"['0389', '7907']",0381,,Beth Israel ed docs,0,0
['0579'],05700,,Beth Israel ed docs,0,0
"['0542', '0740', '5282']",5280,acs,Beth Israel ed docs,0,0
"['0792', '0799', '07999']",075,,Beth Israel ed docs,0,0
"['1104', '1108', '1109', '1110']",1100,,Beth Israel ed docs,0,0
['1319'],13101,,Beth Israel ed docs,0,0
['25001'],25000,,Beth Israel ed docs,0,0
['2510'],2512,acs,Beth Israel ed docs,0,0
"['28261', '28262']",28260,,Beth Israel ed docs,0,0
"['29532', '29590', '2989']",29530,,Beth Israel ed docs,0,0
"['30001', '3009', '3061', '78601']",30000,,Beth Israel ed docs,0,0
"['30400', '30500', '30560', '3058', '30590']",30390,,Beth Israel ed docs,0,0
"['30781', '3469 ', '34690']",7840,,Beth Israel ed docs,0,0
['3559'],3549,,Beth Israel ed docs,0,0
"['37200', '37203', '37214', '37230']",0779,,Beth Israel ed docs,0,0
['38101'],3829,acs,Beth Israel ed docs,0,0
['41090'],4111,acs,Beth Israel ed docs,0,0
['436'],4359,,Beth Israel ed docs,0,0
['4549'],4540,,Beth Israel ed docs,0,0
"['4553', '4556']",4550,,Beth Israel ed docs,0,0
['4558'],4552,,Beth Israel ed docs,0,0
"['0340', '4620', '463']",462,acs,Beth Israel ed docs,0,0
"['460', '4658', '4659', '4660', '490']",4660,acs,Beth Israel ed docs,0,0
['4779'],4739,,Beth Israel ed docs,0,0
"['4809', '486']",485,acs,Beth Israel ed docs,0,0
"['5210', '5225']",5220,acs,Beth Israel ed docs,0,0
"['5233', '5234', '5239']",5231,acs,Beth Israel ed docs,0,0
['53390'],5339,,Beth Israel ed docs,0,0
['53550'],53500,,Beth Israel ed docs,0,0
['5889'],586,,Beth Israel ed docs,0,0
"['5921', '5929', '5941', '7880']",5920,,Beth Israel ed docs,0,0
"['59780', '7887']",0980,,Beth Israel ed docs,0,0
['5959'],5990,acs,Beth Israel ed docs,0,0
['6159'],6149,,Beth Israel ed docs,0,0
"['61610', '6168']",6160,,Beth Israel ed docs,0,0
['6269'],6268,,Beth Israel ed docs,0,0
"['64003', '64093', '64193']",64000,,Beth Israel ed docs,0,0
['64390'],64303,,Beth Israel ed docs,0,0
['64413'],64410,,Beth Israel ed docs,0,0
['6809'],6806,,Beth Israel ed docs,0,0
"['68102', '68110', '68111']",68100,,Beth Israel ed docs,0,0
"['682', '684', '6869']",682,,Beth Israel ed docs,0,1
"['6926', '6929', '7821']",6918,,Beth Israel ed docs,0,0
['7079'],7071,acs,Beth Israel ed docs,0,0
['70890'],7089,,Beth Israel ed docs,0,0
"['71590', '71596', '71690', '71697', '71940', '71941', '71943']",71946,,Beth Israel ed docs,0,0
"['7210', '7231']",7235,,Beth Israel ed docs,0,0
"['72190', '7242', '7245']",7248,,Beth Israel ed docs,0,0
['73399'],7329,,Beth Israel ed docs,0,0
['78052'],78050,,Beth Israel ed docs,0,0
['80702'],80700,,Beth Israel ed docs,0,0
"['81209', '81220', '81240', '81241']",81200,,Beth Israel ed docs,0,0
"['81342', '81344', '81381', '81400']",81341,,Beth Israel ed docs,0,0
"['81600', '81601', '81602']",81500,,Beth Israel ed docs,0,0
['8248'],8242,,Beth Israel ed docs,0,0
"['82525', '8260']",82520,,Beth Israel ed docs,0,0
['83101'],83100,,Beth Israel ed docs,0,0
['83209'],83200,,Beth Israel ed docs,0,0
['8419'],8409,,Beth Israel ed docs,0,0
['84210'],84200,,Beth Israel ed docs,0,0
['8449'],8439,,Beth Israel ed docs,0,0
"['84509', '84510']",84500,,Beth Israel ed docs,0,0
"['8469', '8479']",8460,,Beth Israel ed docs,0,0
['8509'],8501,already rolled into 850,Beth Israel ed docs,1,0
['85400'],8540,already rolled into 854,Beth Israel ed docs,1,0
['8709'],8708,,Beth Israel ed docs,0,0
['87261'],38420,,Beth Israel ed docs,0,0
['8731'],8730,,Beth Israel ed docs,0,0
"['87340', '87341', '87342', '87343', '87344', '87353', '87360', '87364']",87320,,Beth Israel ed docs,0,0
"['8760', '8770']",8750,,Beth Israel ed docs,0,0
"['88003', '88100', '8840']",88000,,Beth Israel ed docs,0,0
['8820'],88102,,Beth Israel ed docs,0,0
['8910'],8900,,Beth Israel ed docs,0,0
['8930'],8920,,Beth Israel ed docs,0,0
"['9110', '9130', '9150', '9160', '9170', '9190']",9100,,Beth Israel ed docs,0,0
['9189'],9181,,Beth Israel ed docs,0,0
['9195'],9194,,Beth Israel ed docs,0,0
['9196'],9156,,Beth Israel ed docs,0,0
"['9212', '9213', '9219']",920,,Beth Israel ed docs,0,0
"['9222', '9223']",9221,,Beth Israel ed docs,0,0
"['92310', '92311', '92320', '9233', '9238', '9239']",92300,,Beth Israel ed docs,0,0
"['92401', '92411', '92420', '92421', '9243', '9245']",92400,,Beth Israel ed docs,0,0
['9330'],933,,Beth Israel ed docs,0,0
['938'],936,,Beth Israel ed docs,0,0
"['94321', '94421', '94500', '94522', '94526', '9462', '9490']",94120,,Beth Israel ed docs,0,0
['9700'],9691,,Beth Israel ed docs,0,0
"['V709', 'v709']",V708 ,,Beth Israel ed docs,0,0
['0380'],0381,,Washington DC docs,0,0
"['25060', '25061', '25081', '25082', '25083']",25080,,Washington DC docs,0,0
['2740'],2749,,Washington DC docs,0,0
['2761'],2765,,Washington DC docs,0,0
['2768'],2767,,Washington DC docs,0,0
['2910'],29181,,Washington DC docs,0,0
['30300'],30301,,Washington DC docs,0,0
