PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hclinic_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
011801,01-FEB-13,31-JAN-14,As Submitted,1,RIVER REGION HEALTH CENTER,P. O. BOX 70365,,MONTGOMERY,AL,36107-0365,MONTGOMERY
011806,05-JUN-12,31-JAN-13,Settled,1,SOUTHSIDE FAMILY HEALTH CENTER,2611 WOODLEY PARK DRIVE,,MONTGOMERY,AL,36116,MONTGOMERY
011807,01-JAN-13,31-DEC-13,As Submitted,1,CAHABA MEDICAL CARE,405 BELCHER ST,,CENTREVILLE,AL,35042,BIBB
011810,01-DEC-11,30-NOV-12,Settled,1,WHATLEY HEALTH SERVICES  INC.,2731 M. L. KING JR.  BLVD.,,TUSCALOOSA,AL,35401,TUSCALOOSA
011813,01-APR-12,31-MAR-13,Settled,4,ROBERTA O. WATTS NEIGHBORHOOD HEALTH,1020 TUSCALOOSA AVENUE,,GADSDEN,AL,35903,ETOWAH
011815,01-JUN-12,31-MAY-13,As Submitted,1,NORTHEAST ALABAMA HEALTH SERVICES,309 TAYLOR STREET,,SCOTTSBORO,AL,35768,JACKSON
011833,01-DEC-12,30-NOV-13,As Submitted,4,MOSTELLAR MEDICAL CENTER,12701 PADGETT SWITCH RD,,BAYOU LA BATRE,AL,36509,MOBILE
011835,01-JUL-12,30-JUN-13,As Submitted,1,RURAL HEALTH MEDICAL PROGRAM  INC.,228 SELMA AVENUE,,SELMA,AL,36701,DALLAS
011838,01-JAN-13,31-DEC-13,As Submitted,1,CENTRAL NORTH ALABAMA HEALTH SERVICE,751 PLEASANT ROW,,HUNTSVILLE,AL,35816,MADISION
011839,01-APR-09,31-MAR-10,Settled,,CENTRAL ALABAMA COMPREHENSIVE HEALTH,203 WEST LEE STREET,,TUSKEGEE,AL,36087,MACON
011840,01-APR-13,31-MAR-14,As Submitted,1,SOUTHEAST ALABAMA RURAL HEALTH ASSOC,1414 ELBA HIGHWAY,,TROY,AL,36079,PIKE
011841,01-DEC-12,30-NOV-13,As Submitted,1,FRANKLIN PRIMARY HEALTH CENTER  INC.,1956 DUVAL STREET,,MOBILE,AL,36606,MOBILE
011846,01-OCT-12,30-SEP-13,As Submitted,8,FAMILY ORIENTED PRIMARY H/C,251 N. BAYOU STREET,,MOBILE,AL,36652-2867,MOBILE
011857,01-JAN-13,31-DEC-13,As Submitted,11,BIRMINGHAM HEALTH CARE,712 25TH STREET NORTH,,BIRMINGHAM,AL,35202,JEFFERSON
011870,01-JAN-13,31-DEC-13,As Submitted,11,POARCH BAND OF CREEK INDIANS,5811 JACK SPRINGS ROAD,,ATMORE,AL,36502,ESCAMBIA
011883,01-DEC-12,30-NOV-13,As Submitted,1,TRI COUNTY MEDICAL CENTER  INC.,316 SOUTH MAIN STREET,,EVERGREEEN,AL,36401,CONECUH
011945,01-MAY-12,30-APR-13,Settled,2,CAPSTONE RURAL HEALTH CENTER,5947 HWY 269,,PARRISH,AL,35580,WALKER
011967,01-FEB-13,31-JAN-14,As Submitted,4,FAMILY HEALTH CARE CLINIC  INC.,1304 13TH AVENUE  SE  SUITE A,,DECATUR,AL,35601,MORGAN
011968,22-MAR-10,31-JAN-11,Settled,4,FAMILY HEALTH CARE CLINIC,926 4TH ST,,RED BAY,AL,35582,FRANKLIN
011973,01-APR-12,30-JUL-12,Settled,4,NORTH EAST REG CARE CTR,309 E 7TH ST,,GADSDEN,AL,359020097,ETOWAH
011976,01-JAN-13,31-DEC-13,As Submitted,1,NEW MARKET CLINIC,110 MARKET STREET,,NEW MARKET,AL,35761,MADISION
011977,29-JUN-11,31-JAN-12,As Submitted,1,CLANTON FAMILY HEALTH CENTER,232 7TH TOWNMART ST,,CLANTON,AL,35045-2324,CHILTON
011978,29-JUN-11,31-JAN-12,Settled,1,ECLECTIC FAMILY HEALTH CENTER,26 MAIN ST,,ECLECTIC,AL,26024-5614,ELMORE
011979,30-JUN-11,31-JAN-12,Settled,1,HAYNEVILLE FAMILY HEALTH CENTER,511 TUSKEENA ST,,HAYNEVILLE,AL,36040-2033,LOWNDES
011980,30-JUN-11,31-JAN-12,Settled,1,THE FAMILY MEDICAL CENTER,8578 US HWY 80 W,,TYLER,AL,36785-5422,LOWNDES
011981,01-JUL-11,31-JAN-12,Settled,4,CHISHOLM FAMILY HEALTH CENTER,100E VANDIVER BLVD,,MONTGOMERY,AL,361070365,MONTGOMERY
011982,01-JUL-11,31-JAN-12,Settled,1,AUTAUGAVILLE FAMILY HEALTH CTR,203 N TAYLOR ST,,AUTAUGAVILLE,AL,36003-2663,AUTAUGAVILLE
011983,01-JAN-12,31-DEC-12,As Submitted,1,BAYOUCLINIC  INC,13833 TAPIA LANE,,BAYOU LA BATRE  AL 36509,AL,36509,MOBILE
013811,01-JAN-13,31-DEC-13,Settled,4,BHC MUNFORD,P.O. BOX 469,,MUNFORD,AL,36268,TALLADEGA
013845,01-JAN-11,05-JUL-11,Settled,1,BAYOUCLINIC  INC,13833 TAPIA LANE,,BAYOU LA BATRE  AL 36509,AL,36509,MOBILE
013846,01-JAN-13,31-DEC-13,As Submitted,4,CULLMAN INTERNAL MEDICINE,1890 ALABAMA HYW 157 STE 300,,CULLMAN,AL,35058,CULLMAN
013847,01-JAN-12,31-DEC-12,Settled,1,SYLACAUGA PEDIATRICS,115 WEST CLAY ST,,SYLACAUGA,AL,35150,TALLADEGA
