"CT","CT_ST","PCSA","PCSA_ST","PCSA_L"
"01001020100","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020200","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020300","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020400","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020500","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020600","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020700","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020801","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020802","AL","01001020500","AL","AL00_PRATTVILLE"
"01001020900","AL","01001020500","AL","AL00_PRATTVILLE"
"01001021000","AL","01001020500","AL","AL00_PRATTVILLE"
"01001021100","AL","01001020500","AL","AL00_PRATTVILLE"
"01003010100","AL","01003010500","AL","AL00_BAY MINETTE"
"01003010200","AL","01003010500","AL","AL00_BAY MINETTE"
"01003010300","AL","01003010500","AL","AL00_BAY MINETTE"
"01003010400","AL","01003010500","AL","AL00_BAY MINETTE"
"01003010500","AL","01003010500","AL","AL00_BAY MINETTE"
"01003010600","AL","01003010500","AL","AL00_BAY MINETTE"
"01003010701","AL","01097000901","AL","AL02_MOBILE"
"01003010703","AL","01003010705","AL","AL00_BALDWIN"
"01003010704","AL","01003010705","AL","AL00_BALDWIN"
"01003010705","AL","01003010705","AL","AL00_BALDWIN"
"01003010800","AL","01003010705","AL","AL00_BALDWIN"
"01003010903","AL","01003010904","AL","AL00_ROBERTSDALE"
"01003010904","AL","01003010904","AL","AL00_ROBERTSDALE"
"01003010905","AL","01003010904","AL","AL00_ROBERTSDALE"
"01003010906","AL","01003010904","AL","AL00_ROBERTSDALE"
"01003011000","AL","01003011502","AL","AL00_FOLEY"
"01003011101","AL","01003011202","AL","AL00_FAIRHOPE"
"01003011102","AL","01003011202","AL","AL00_FAIRHOPE"
"01003011201","AL","01003011202","AL","AL00_FAIRHOPE"
"01003011202","AL","01003011202","AL","AL00_FAIRHOPE"
"01003011300","AL","01003011202","AL","AL00_FAIRHOPE"
"01003011401","AL","01003011502","AL","AL00_FOLEY"
"01003011403","AL","01003011406","AL","AL00_ORANGE BEACH"
"01003011405","AL","01003011406","AL","AL00_ORANGE BEACH"
"01003011406","AL","01003011406","AL","AL00_ORANGE BEACH"
"01003011407","AL","01003011407","AL","AL00_GULF SHORES"
"01003011408","AL","01003011407","AL","AL00_GULF SHORES"
"01003011501","AL","01003011502","AL","AL00_FOLEY"
"01003011502","AL","01003011502","AL","AL00_FOLEY"
"01003011601","AL","01003011602","AL","AL00_LILLIAN"
