pcsa,zip,state_cd,zcta,fips_code,lat,lng,zip_type,ruca_code,census_region,census_division,distance_to_fqhc
35009000602,88103,NM,88103,009,34.3841,-103.3154,Zip Code Area,4,W,M,28.152972443395377
06107001200,93262,CA,93262,107,36.6007,-118.711,Zip Code Area,2,W,P,65.24576902941534
18059410600,46129,IN,46130,059,39.8215,-85.7652,Post Office or large volume customer,2,MW,ENC,23.5231797412194
30089000200,59853,MT,59853,089,48.0768,-115.8582,Zip Code Area,10,W,M,35.95656313306299
45013002102,29915,SC,29915,013,32.1145,-80.8686,Zip Code Area,2.1,S,SA,22.48804124306148
02090000100,99702,AK,99702,090,64.6735,-147.0805,Zip Code Area,7,W,P,249.91058173984712
28037950100,39647,MS,39647,037,31.4908,-90.7836,Zip Code Area,6,S,ESC,35.17410285132047
02070000100,99678,AK,99678,070,59.0619,-160.3764,Post Office or large volume customer,10,W,P,97.97140806211786
02070000100,99636,AK,99636,070,59.4882,-157.2905,Zip Code Area,10,W,P,81.08970688401861
02090000100,99714,AK,99714,090,64.5091,-146.953,Zip Code Area,2,W,P,221.14682360188425
02070000100,99628,AK,99628,070,59.0096,-158.9897,Zip Code Area,10,W,P,134.53914597472132
02070000100,99569,AK,99569,070,58.8173,-158.5299,Zip Code Area,10,W,P,94.28980945904853
02070000100,99555,AK,99555,070,59.2697,-158.6199,Zip Code Area,10,W,P,107.91074765896859
02090000300,99791,AK,99791,185,70.4947,-157.4411,Post Office or large volume customer,10,W,P,394.60459035026184
02090000300,99790,AK,99790,090,64.8378,-147.7164,Post Office or large volume customer,2,W,P,194.70804716434125
02090000300,99789,AK,99789,185,70.1927,-150.9971,Zip Code Area,10,W,P,339.813143171821
02090000300,99788,AK,99788,290,66.6544,-143.7222,Zip Code Area,10,W,P,152.11911348517097
02090000300,99782,AK,99782,185,70.6369,-160.0383,Zip Code Area,10,W,P,376.7462512784407
02090000300,99781,AK,99781,290,67.0104,-146.4137,Zip Code Area,10,W,P,70.41949452671939
02070000100,99576,AK,99576,070,59.0402,-158.5231,Zip Code Area,10,W,P,0.0
02100000100,99840,AK,99840,232,59.4685,-135.3018,Zip Code Area,10.1,W,P,0.0
02220000200,99689,AK,99689,232,59.812,-139.5505,Zip Code Area,10,W,P,0.0
30095966500,59061,MT,59061,095,45.441,-109.8271,Zip Code Area,10,W,M,61.63752475979469
02170000102,99688,AK,99688,170,61.8966,-150.0038,Zip Code Area,10,W,P,50.871566065540144
02170000102,99676,AK,99676,170,62.2605,-150.1101,Zip Code Area,10.2,W,P,0.0
20153950600,67745,KS,67745,153,39.7923,-101.3227,Zip Code Area,10,MW,WNC,200.28650522410138
02130000200,99923,AK,99923,198,55.9169,-130.0247,Zip Code Area,10,W,P,110.0705267872363
02122001300,99664,AK,99664,122,60.1329,-149.3985,Zip Code Area,10,W,P,89.89684123816346
02122001200,99603,AK,99603,122,59.5374,-151.2356,Zip Code Area,10,W,P,29.039654743625693
02122001000,99639,AK,99639,122,60.0108,-151.6396,Zip Code Area,10,W,P,39.49762061303419
02122001000,99556,AK,99556,122,59.8371,-151.7078,Zip Code Area,10,W,P,55.50868800181814
02122000500,99669,AK,99669,122,60.4818,-151.1358,Zip Code Area,8,W,P,0.0
02122000500,99635,AK,99611,122,60.7007,-151.2766,Post Office or large volume customer,8,W,P,27.13962286930406
02122000500,99631,AK,99631,122,60.6148,-149.4056,Zip Code Area,10,W,P,66.50918305936466
02122000500,99605,AK,99605,122,60.8726,-149.4683,Zip Code Area,10,W,P,45.029825836142834
02122000500,99572,AK,99572,122,60.4767,-149.8235,Zip Code Area,10,W,P,61.36253830175893
06057000501,95712,CA,95945,057,39.143,-120.9666,Post Office or large volume customer,5,W,P,45.02932196053671
19121060200,50222,IA,50222,121,41.2145,-93.9437,Zip Code Area,2,MW,WNC,50.13175965151283
21195931400,41543,KY,41543,195,37.5624,-82.2803,Zip Code Area,10,S,ESC,39.36205600603608
21195931400,41544,KY,41544,195,37.5969,-82.1674,Zip Code Area,10,S,ESC,28.298497731795507
