PROVIDER_NUMBER,FQHC14_Name,Street_Addr,PO_Box,City,State,Zip_Code,County
011000,MOBILE MEDICAL VAN,251 N BAYOU ST,,MOBILE,AL,36603-5827,MOBILE
011007,SOUTHWEST MOBILE H,5580 INN ROAD,2867,MOBILE,AL,36652,MOBILE
011008,MONTGOMERY EAST FAMILY HEALTH CENTER,309 ST. LUKES DR.,,MONTGOMERY,AL,36117-7109,MONTGOMERY
011012,CHRIST HEALTH CENTER,5720 1ST AVENUE SOUTH,,BIRMINGHAM,AL,35212-2522,JEFFERSON
011019,DAUPHIN ISLAND  PKY  HEALTH  CTT,2601 DAUPHION ISLANDD  PKWY,,MOBILE,AL,36605-3472,MOBILE
011020,POARCH BAND OF CREEK INDIANS,429 BUFORT L. BOLIN DRIVE,,ATMORE,AL,36502,ESCAMBIA
011021,CAHABA MEDICAL CARE - WOODSTOCK FAM,28921 HIGHWAY 5,,WOODSTOCK,AL,35188,BIBB
011022,WHATLEY HEALTH SERVICES  INC.,289 WILLIAM E HILL DR,,CARROLLTON,AL,35447,PICKENS
011024,CAHABA MEDICAL CARE - MAPLESVILLE,9431 ALABAMA 22,,MAPLESVILLE,AL,36750,BIBB
011025,SUSIE E. ALLEN HEALTH CENTER,1500 11TH AVENUE,,PHENIX CITY,AL,36867,LEE
011026,CAPSTONE COTTAGE,714 12TH STREET WEST,,JASPER,AL,35501,WALKER
011027,WHATLEY HEALTH SERVICES  INC.,289 WILLIAM E HILL DRIVE,,CARROLLTON,AL,35447,PICKENS
011028,FOLEY SCHOOL BASED HEATLH CTR,301 WEST LAUREL AVENUE,2048,FOLEY,AL,36536-1920,BALDWIN
011029,CAHABA - BESSEMER,1088 9TH AVE SW  STE 106,,BESSEMER,AL,35022,JEFFERSON
011030,CAHABA - WEST END,1308 TUSCALOOSA AVE,,BIRMINGHAM,AL,35211,JEFFERSON
011031,BREWTON FAMILY MEDICAL CENTER,1303 DR MARTIN LUTHER KING JR DR,,MOBILE,AL,36603-5341,ESCAMBIA
011032,BESSEMER NEIGHBORHOOD HEALTH CENTER,2201 ARLINGTON AVE,,BESSEMER,AL,35020-4221,JEFFERSON
011033,CAHABA MEDICAL CTR FDN,405 BELCHER STREET,,CENTERVILLE,AL,35042-2946,BIBB
011034,CAHABA MEDICAL CARE,405 BELCHER STREET,,CENTERVILLE,AL,35042-2946,JEFFERSON
011035,CAPSTONE RURAL HEALTH CENTER - NAUVO,156 3RD AVENUE,,NAUVOO,AL,35578,WALKER
011036,CHAMBERS QUALITY HEALTH CARE,404 9TH AVENUE  S.W.,,LAFAYETTE,AL,36862,CHAMBERS
011037,THOMASTON HEALTH CENTER,111 MAIN STREET,,THOMASTON,AL,36083,MARENGO
011038,CHRIST HEALTH CENTER,2152 OLD SPRINGVILLE ROAD,,CENTERPOINT,AL,35215,JEFFERSON
011039,ARMS MIDTOWN HEALTH CENTER,1515 6TH AVENUE  SOUTH  7TH FLOOR,,BIRMINGHAM,AL,35233,JEFFERSON
011040,CAHABA MEDICAL CARE FOUNDATION,405 BELCHER STREET,,CENTERVILLE,AL,35042-2946,
011041,ARMS NORTHSIDE HEALTH CENTER,3200 27TH STREET  NORTH  STE C,,BIRMINGHAM,AL,35207,JEFFERSON
011042,WHATLEY HEALTH SERVICES INC,417 3RD STREET SE,,ALICEVILLE,AL,35442-2724,PICKENS
011043,FRANKLIN EVERGREEN FAMILY HEALTH,100 EDWINA STREET,2048,EVERGREEN,AL,36401,CONECUH
011044,CAHABA MEDCAL CARE- MARION,405 BELCHER ST,,CENTERVILLE,AL,35042,BIBB
011045,DEMOPOLIS HEALTH CENTER,1502 US HIGHWAY 80 UNIT A,,DEMOPOLIS,AL,36732,MARENGO
011046,EXPRESS HEALTH EXPRESS II,1411 PIEDMONT CUTOFF,,GADSDEN,AL,35903,ETOWAH
011048,CHARLES WHITE FAMILY HEALTH CTR,990 CODY ROAD N,,MOBILE,AL,36608,MOBILE
011049,ALTAPOINTE HEALTH SYSTEMS  INC.,13833 TAPIA AVENUE,,BAYOU LA BATRE,AL,36509,MOBILE
011050,AIDS ACTION COALITION OF HUNTSVILLE,600 ST CLAIR AVE SW BLDG 7 STE 18,2409,HUNTSVILLE,AL,35801-5057,MADISON
011051,AIDS ACTION OF HUNTSVILLE,600 ST CLAIR AVE SW BLDG 3,2409,HUNTSVILLE,AL,35801-5057,MADISON
011052,AIDS COALITION OF HUNTSVILLE,600 ST CLAIR AVE SW BLD 9 STE 23,2409,HUNTSVILLE,AL,35801-5057,MADISON
011053,ARMS NORTHERN HEALTH CENTER,2817 30TH AAVENUE  NORTH,,BIRMINGHAM,AL,35207,JEFFERSON
011054,CAHABA MEDICAL CENTER AWESOME KIDS,405 BELCHER STREET,,CENTREVILLE,AL,35042,JEFFERSON
011055,CAHABA MEDICAL CARE FOUNDATION,405 BELCHER STREET,,CENTREVILLE,AL,45042,BIBB
011057,BREWTON FAMILY DENTAL CENTER,1115 AZALEA PL,,BREWTON,AL,36426-1318,ESCAMBIA
011060,ARMS CRESTWOOD HEALTH CENTER,7001 CRESTWOOD BLVD  SUITE 822,,BIRMINGHAM,AL,35210,JEFFERSON
011061,CAHABA MEDICAL CARE FOUNDATION,405 BELCHER STREET,,CENTREVILLE,AL,35042,JEFFERSON
011062,CAHABA MEDICAL CARE FOUNDATION,405 BELCHER STREET,,CENTREVILLE,AL,35042,JEFFERSON
011063,CAHABA MEDICAL CARE FOUNDATION,405 BELCHER STREET,,CENTREVILLE,AL,35042,JEFFERSON
011064,CAHABA MEDICAL CARE HEMPHILL ELEMEN,405 BELCHER STREET,,CENTREVILLE,AL,35042,JEFFERSON
011065,CAHABA MEDICAL CENTER ROBINSON ELE,301 61ST STREET,,FAIRFIELD,AL,35064,JEFFERSON
011067,FRANKLINS WELLNESS SMILES VISSION E,1303 DR MARKING L KING JR AVE,,MOBILE,AL,36603-5341,MOBILE
011068,WHATLEY HEALTH SERVICES  INC,142 SCHOOL STREET,,OAKMAN,AL,35579,WALKER
011070,ARMS ENSLEY HEALTH CENTER,417 19TH STREET,,BIRMINGHAM,AL,35218,JEFFERSON
011801,RIVER REGION HEALTH CENTER,1845 CHERRY STREET,70365,MONTGOMERY,AL,36107-0365,MONTGOMERY
011807,CAHABA MEDICAL CARE,405 BELCHER ST,,CENTREVILLE,AL,35042,BIBB
011810,WHATLEY HEALTH SERVICES,2731 MLK JR BLVD,,TUSCALOOSA,AL,35401,TUSCALOOSA
011812,NORTH BALDWIN RURAL HIV H,312 COURTHOUSE SQUARE,,BAY MINETTE,AL,36652-2867,BALDWIN
011813,QUALITY OF LIFE HEALTH SRVICES  INC.,1020 TUSCALOOSA AVENUE,,GADSDEN,AL,35908,ETOWAH
011815,NORTHEAST ALABAMA HEALTH SERVICES,309 TAYLOR STREET,,SCOTTSBORO,AL,35768,JACKSON
011833,MOSTELLAR MEDICAL CENTER,12701 PADGETT SWITCH RD,,IRVINGTON,AL,36544,MOBILE COUNTY
011835,RURAL HEALTH MEDICAL PROGRAM,2210 HIGHWAY 221 NORTH 221 NORTH,,CAMDEN,AL,36726,WILCOX
011838,CENTRAL NORTH ALABAMA HEALTH SERVICE,751 PLEASAANT ROW,,HUNTSVILLE,AL,35816,MADISON
011840,SOUTHEAST ALABAMA RURAL HEALTH ASSOC,1414 ELBA HWY,,TROY,AL,36079,PIKE
011841,FRANKLIN PRIMARY HEALTH CENTER  INC.,1956 DUVAL STREET,2048,MOBILE,AL,36606,MOBILE
011846,011846,251 NORTH BAYOU STREET,2867,MOBILE,AL,36603,MOBILE
011857,ALABAMA REGIONAL MEDICAL SERVICES,712 25TH STREET  NORTH,11523,BIRMINGHAM,AL,35202,JEFFERSON
011870,POARCH BAND OF CREEK INDIANS,5811 JACK SPRINGS ROAD,,ATMORE,AL,36502,ESCAMBIA
011945,CAPSTONE RURAL HEALTH CENTER,5947 HWY 269,169,PARRISH,AL,35580,WALKER
011967,FAMILY HEALTH CARE CLINIC  INC.,1304 13TH AVENUE  SUITE A,,DECATUR,AL,35601,MORGAN
011976,NEW MARKET CLINIC,110 MARKET STREET,,NEW MARKET,AL,35761,MADISON
011983,BAYOUCLINIC  INC.,13833 TAPIA,,BAYOU LA BATRE,AL,36509,USA
