state_cd,census_region,census_division
AK,W,P
AL,S,ESC
AR,S,WSC
AZ,W,M
CA,W,P
CO,W,M
CT,NE,NE
DC,S,SA
DE,S,SA
FL,S,SA
GA,S,SA
HI,W,P
IA,MW,WNC
ID,W,M
IL,MW,ENC
IN,MW,ENC
KS,MW,WNC
KY,S,ESC
LA,S,WSC
MA,NE,NE
MD,S,SA
ME,NE,NE
MI,MW,ENC
MN,MW,WNC
MO,MW,WNC
MS,S,ESC
MT,W,M
NC,S,SA
ND,MW,WNC
NE,MW,WNC
NH,NE,NE
NJ,NE,MA
NM,W,M
NV,W,M
NY,NE,MA
OH,MW,ENC
OK,S,WSC
OR,W,P
PA,NE,MA
RI,NE,NE
SC,S,SA
SD,MW,WNC
TN,S,ESC
TX,S,WSC
UT,W,M
VA,S,SA
VT,NE,NE
WA,W,P
WI,MW,ENC
WV,S,SA
WY,W,M
