"zip5","PCSA"
"00501","36103158900"
"00544","36103158900"
"01001","25013800600"
"01002","25015820700"
"01003","25015821400"
"01004","25015820700"
"01005","25027722100"
"01007","25015820203"
"01008","25013812500"
"01009","25013810100"
"01010","25013813802"
"01011","25003914100"
"01012","25015822700"
"01013","25013812002"
"01014","25013800600"
"01020","25013800500"
"01021","25013812002"
"01022","25013812002"
"01026","25015822700"
"01027","25015821602"
"01028","25013800500"
"01029","25003925100"
"01030","25013800600"
"01031","25027722100"
"01032","25015821602"
"01033","25013812002"
"01034","25013812500"
"01035","25015821400"
"01036","25013800500"
"01037","25027722100"
"01038","25015821602"
"01039","25015821602"
"01040","25013812002"
"01041","25013812002"
"01050","25013812500"
"01053","25015821602"
"01054","25015820700"
"01056","25013810403"
"01057","25013810100"
"01059","25015820700"
"01060","25015821602"
"01061","25015821602"
"01062","25015821602"
"01063","25015821602"
"01066","25015821602"
"01068","25027722100"
"01069","25013810100"
"01070","25015822700"
"01071","25013812500"
"01072","25015820700"
"01073","25015821602"
"01074","25027722100"
"01075","25013812002"
"01077","25013812500"
"01079","25013810100"
"01080","25013810100"
"01081","25013813802"
"01082","25015820102"
"01083","25015820102"
"01084","25015822700"
"01085","25013812500"
"01086","25013812500"
"01088","25015821602"
"01089","25013800600"
"01090","25013800600"
"01092","25015820102"
"01093","25011040701"
"01094","25027722100"
"01095","25013800500"
"01096","25015821602"
"01097","25013812500"
"01098","25015822700"
"01101","25013800600"
"01102","25013800600"
"01103","25013800600"
"01104","25013800500"
"01105","25013800500"
"01106","25013800500"
"01107","25013800500"
"01108","25013800500"
"01109","25013800500"
"01111","25013800500"
"01115","25013800600"
"01116","25013800500"
"01118","25013800500"
"01119","25013800500"
"01128","25013800500"
"01129","25013800500"
"01138","25013800600"
"01139","25013800600"
"01144","25013800600"
"01151","25013810403"
"01152","25013800500"
"01199","25013800500"
"01201","25003900500"
"01202","25003900500"
"01203","25003900500"
"01220","25003922100"
"01222","25003925100"
"01223","25003914100"
"01224","25003900500"
"01225","25003922100"
"01226","25003912100"
"01227","25003912100"
"01229","25003914100"
"01230","25003925100"
"01235","25003912100"
"01236","25003914100"
"01237","25003900500"
"01238","25003914100"
"01240","25003914100"
"01242","25003914100"
"01243","25015822700"
"01244","25003925100"
"01245","25003925100"
"01247","25003920102"
"01252","25003925100"
"01253","25003925100"
"01254","25003900200"
"01255","25003925100"
"01256","25003922100"
"01257","25003925100"
"01258","25003925100"
"01259","25003925100"
"01260","25003914100"
"01262","25003914100"
"01263","25003914100"
"01264","25003925100"
"01266","25003914100"
"01267","25003920102"
"01270","25003912100"
"01301","25011040701"
"01302","25011040701"
"01330","25011041502"
"01331","25027703300"
"01337","25011040701"
"01338","25011041502"
"01339","25011041502"
"01340","25011041502"
"01341","25011041502"
"01342","25011040701"
"01343","25003922100"
"01344","25011040701"
"01346","25011041502"
"01347","25011040701"
"01349","25011040701"
"01350","25011041502"
"01351","25011040701"
"01354","25011040701"
"01355","25015820700"
"01360","25011040701"
"01364","25027703300"
"01366","25027722100"
"01367","25011041502"
"01368","25027701100"
"01370","25011041502"
"01373","25011040701"
"01375","25011040701"
"01376","25011040701"
"01378","25011040701"
"01379","25011040701"
"01380","25011040701"
"013MH","25027722100"
"01420","25027710100"
"01430","25027707500"
"01431","25027710100"
"01432","25017326101"
"01434","25017363104"
"01436","25027707500"
"01438","25027707500"
"01440","25027707500"
"01441","25027708100"
"01450","25017326101"
"01451","25017363104"
"01452","25027707500"
"01453","25027709702"
"01460","25017363104"
"01462","25027709702"
"01463","25017327101"
"01464","25017326101"
"01467","25017363104"
"01468","25027707500"
"01469","25017326101"
"01470","25017326101"
"01471","25017326101"
"01472","25017326101"
"01473","25027708100"
"01474","25017326101"
"01475","25027701100"
"01477","25027701100"
"01501","25027736500"
"01503","25017322100"
"01504","44007018500"
"01505","25027732201"
"01506","25027732201"
"01507","25027756101"
"01508","25027756101"
"01509","25027756101"
"01510","25027716200"
"01515","25027732201"
"01516","25027752100"
"01517","25027728300"
"01518","25027757300"
"01519","25027732201"
"01520","25027728300"
"01521","25013813802"
"01522","25027728300"
"01523","25027713100"
"01524","25027732201"
"01525","25027750100"
"01526","25027750100"
"01527","25027732201"
"01529","25027749200"
"01531","25027722100"
"01532","25027740200"
"01534","25027750100"
"01535","25027732201"
"01536","25027732201"
"01537","25027736500"
"01538","25027749200"
"01540","25027736500"
"01541","25027728300"
"01542","25027732201"
"01543","25027728300"
"01545","25027732201"
"01546","25027732201"
"01550","25027757300"
"01560","25027750100"
"01561","25027713100"
"01562","25027732201"
"01564","25027709702"
"01566","25027757300"
"01568","25027744400"
"01569","25027749200"
"01570","25027754100"
"01571","25027754100"
"01580","25027761200"
"01581","25027761200"
"01582","25027761200"
"01583","25027732201"
"01585","25015820102"
"01586","25027732201"
"01588","25027750100"
"01590","25027750100"
"01601","25027732201"
"01602","25027732201"
"01603","25027732201"
"01604","25027732201"
"01605","25027732201"
"01606","25027732201"
"01607","25027732201"
"01608","25027732201"
"01609","25027732201"
"01610","25027732201"
"01611","25027732201"
"01612","25027732201"
"01613","25027732201"
"01614","25027732201"
"01615","25027732201"
"01653","25027732201"
"01654","25027732201"
"01655","25027732201"
"01701","25017383300"
"01702","25017383300"
"01703","25017383400"
"01704","25017383300"
"01705","25017383400"
"01718","25017363104"
"01719","25017363104"
"01720","25017363104"
"01721","25017383300"
"01730","25017332400"
"01731","25017360200"
"01740","25027715100"
"01741","25017361100"
"01742","25017361100"
"01745","25027741101"
"01746","25017387202"
"01747","25027744400"
"01748","25017320104"
"01749","25017322100"
"01752","25017321300"
"01754","25017361100"
"01756","25027749200"
"01757","25027744400"
"01760","25017382500"
"01770","25017382500"
"01772","25027741101"
"01773","25017360200"
"01775","25017361100"
"01776","25017361100"
"01778","25017374300"
"01784","25017320104"
"01801","25017332400"
"01803","25017332400"
"01805","25017332400"
"01807","25017332400"
"01810","25009251600"
"01812","25017332400"
"01813","25017332400"
"01815","25017332400"
"01821","25017332400"
"01822","25017332400"
"01824","25017317203"
"01826","25017312400"
"01827","25017317203"
"01830","25009260301"
"01831","25009260301"
"01832","25009260301"
"01833","25009268200"
"01834","25009260301"
"01835","25009260301"
"01840","25009251600"
"01841","25009251600"
"01842","25009251600"
"01843","25009251600"
"01844","25009252601"
"01845","25017332400"
"01850","25017312400"
"01851","25017312400"
"01852","25017312400"
"01853","25017312400"
"01854","25017312400"
"01860","25009268200"
"01862","25017332400"
"01863","25017317203"
"01864","25017332400"
"01865","25017332400"
"01866","25017332400"
"01867","25017332400"
"01876","25017315100"
"01879","25017317203"
"01880","25017332400"
"01885","25017332400"
"01886","25017318400"
"01887","25017332400"
"01888","25017332400"
"01889","25017332400"
"01890","25017338300"
"01899","25017332400"
"01901","25009207000"
"01902","25009205300"
"01903","25009207000"
"01904","25009205300"
"01905","25009205300"
"01906","25017336200"
"01907","25009202102"
"01908","25009202102"
"01910","25009260301"
"01913","25009268200"
"01915","25009217100"
"01921","25017332400"
"01922","25009268200"
"01923","25009211200"
"01929","25009218100"
"01930","25009221300"
"01931","25009221300"
"01936","25009215101"
"01937","25009210300"
"01938","25009223100"
"01940","25009210300"
"01944","25009218100"
"01945","25009204200"
"01949","25009212100"
"01950","25009268200"
"01951","25009268200"
"01952","25009268200"
"01960","25009210300"
"01961","25009210300"
"01965","25009217100"
"01966","25009221300"
"01969","25009268200"
"01970","25009204200"
"01971","25009204200"
"01982","25009215101"
"01983","25017332400"
"01984","25009215101"
"01985","25009268200"
"02018","25021422100"
"02019","25021443102"
"02020","25023508101"
"02021","25021415200"
"02025","25021423100"
"02026","25021402500"
"02027","25021402500"
"02030","25021403300"
"02031","25021410100"
"02032","25021413401"
"02035","25021410100"
"02038","25021442202"
"02040","25023505200"
"02041","25023508101"
"02043","25023501201"
"02044","25021422301"
"02045","25021423100"
"02047","25023505200"
