pcsa,zip,state_cd,zcta,zip_type,ruca_code
1001020500.0,36003,AL,36003,Zip Code Area,2
1001020500.0,36006,AL,36006,Zip Code Area,2
1001020500.0,36008,AL,36067,Zip Code Area,2
1001020500.0,36022,AL,36022,Zip Code Area,1
1001020500.0,36025,AL,36025,Zip Code Area,1
1001020500.0,36051,AL,36051,Zip Code Area,2
1001020500.0,36054,AL,36054,Zip Code Area,1
1001020500.0,36066,AL,36066,Zip Code Area,1
1001020500.0,36067,AL,36067,Zip Code Area,1
1001020500.0,36068,AL,36066,Post Office or large volume customer,1
1001020500.0,36749,AL,36749,Zip Code Area,2
1003010500.0,36507,AL,36507,Zip Code Area,3
1003010500.0,36550,AL,36550,Zip Code Area,9
1003010500.0,36562,AL,36562,Zip Code Area,9
1003010500.0,36578,AL,36578,Zip Code Area,3
1003010500.0,36579,AL,36579,Zip Code Area,9
1097000901.0,36505,AL,36505,Zip Code Area,1
1097000901.0,36512,AL,36512,Post Office or large volume customer,2
1097000901.0,36525,AL,36525,Zip Code Area,1
1097000901.0,36527,AL,36527,Zip Code Area,1.1
1097000901.0,36560,AL,36560,Zip Code Area,2
1097000901.0,36571,AL,36571,Zip Code Area,1
1097000901.0,36572,AL,36572,Zip Code Area,1
1097000901.0,36577,AL,36527,Post Office or large volume customer,1.1
1097000901.0,365MH,AL,,,
1097000901.0,36601,AL,36602,Post Office or large volume customer,1
1097000901.0,36602,AL,36602,Zip Code Area,1
1097000901.0,36603,AL,36603,Zip Code Area,1
1097000901.0,36604,AL,36604,Zip Code Area,1
1097000901.0,36606,AL,36606,Zip Code Area,1
1097000901.0,36607,AL,36607,Zip Code Area,1
1097000901.0,36610,AL,36610,Zip Code Area,1
1097000901.0,36611,AL,36611,Zip Code Area,1
1097000901.0,36612,AL,36612,Zip Code Area,1
1097000901.0,36613,AL,36613,Zip Code Area,1
1097000901.0,36616,AL,36616,Post Office or large volume customer,1
1097000901.0,36617,AL,36617,Zip Code Area,1
1097000901.0,36618,AL,36618,Zip Code Area,1
1097000901.0,36625,AL,,,
1097000901.0,36628,AL,36602,Post Office or large volume customer,1
1097000901.0,36630,AL,,,
1097000901.0,36633,AL,36602,Post Office or large volume customer,1
1097000901.0,36640,AL,36604,Post Office or large volume customer,1
1097000901.0,36641,AL,36602,Post Office or large volume customer,1
1097000901.0,36644,AL,36602,Post Office or large volume customer,1
1097000901.0,36652,AL,36602,Post Office or large volume customer,1
1097000901.0,36660,AL,36606,Post Office or large volume customer,1
1097000901.0,36663,AL,36610,Post Office or large volume customer,1
1097000901.0,36670,AL,36607,Post Office or large volume customer,1
1097000901.0,36671,AL,36611,Post Office or large volume customer,1
1097000901.0,36675,AL,36619,Post Office or large volume customer,1
1097000901.0,36685,AL,36609,Post Office or large volume customer,1
1097000901.0,36688,AL,36688,Zip Code Area,1
1097000901.0,36689,AL,36608,Post Office or large volume customer,1
1003010705.0,36526,AL,36526,Zip Code Area,1.1
1003010705.0,36559,AL,36559,Post Office or large volume customer,1.1
1003010904.0,36551,AL,36551,Zip Code Area,1.1
1003010904.0,36567,AL,36567,Zip Code Area,3
1003010904.0,36574,AL,36574,Zip Code Area,3
1003010904.0,36576,AL,36576,Zip Code Area,3
1003011502.0,36511,AL,36511,Zip Code Area,5
1003011502.0,36535,AL,36535,Zip Code Area,4
